step,episode,ret,len,true_success,classifier_success,interv_frac
12858,138,1.0,50,1.0,1.0,0.0
12893,139,1.0,35,1.0,1.0,0.0
12929,140,1.0,36,1.0,1.0,0.0
12973,141,1.0,44,1.0,1.0,0.0
13015,142,1.0,42,0.0,1.0,0.0
13053,143,1.0,38,1.0,1.0,0.0
13088,144,1.0,35,1.0,1.0,0.0
13122,145,1.0,34,1.0,1.0,0.0
13156,146,1.0,34,1.0,1.0,0.0
13276,147,0.0,120,0.0,0.0,0.0
13310,148,1.0,34,1.0,1.0,0.0
13342,149,1.0,32,1.0,1.0,0.0
13377,150,1.0,35,1.0,1.0,0.0
13413,151,1.0,36,1.0,1.0,0.0
13452,152,1.0,39,1.0,1.0,0.0
13572,153,0.0,120,0.0,0.0,0.0
13604,154,1.0,32,1.0,1.0,0.0
13643,155,1.0,39,1.0,1.0,0.0
13678,156,1.0,35,1.0,1.0,0.0
13714,157,1.0,36,1.0,1.0,0.0
13757,158,1.0,43,1.0,1.0,0.0
13793,159,1.0,36,1.0,1.0,0.0
13828,160,1.0,35,1.0,1.0,0.0
13863,161,1.0,35,1.0,1.0,0.0
13915,162,1.0,52,1.0,1.0,0.0
13960,163,1.0,45,1.0,1.0,0.0
14004,164,1.0,44,1.0,1.0,0.0
14038,165,1.0,34,1.0,1.0,0.0
14073,166,1.0,35,1.0,1.0,0.0
14111,167,1.0,38,1.0,1.0,0.0
14146,168,1.0,35,1.0,1.0,0.0
14181,169,1.0,35,1.0,1.0,0.0
14220,170,1.0,39,1.0,1.0,0.0
14261,171,1.0,41,1.0,1.0,0.0
14297,172,1.0,36,1.0,1.0,0.0
14332,173,1.0,35,1.0,1.0,0.0
14366,174,1.0,34,1.0,1.0,0.0
14400,175,1.0,34,1.0,1.0,0.0
14434,176,1.0,34,1.0,1.0,0.0
14465,177,1.0,31,1.0,1.0,0.0
14498,178,1.0,33,1.0,1.0,0.0
14530,179,1.0,32,1.0,1.0,0.0
14564,180,1.0,34,1.0,1.0,0.0
14598,181,1.0,34,1.0,1.0,0.0
14633,182,1.0,35,1.0,1.0,0.0
14662,183,1.0,29,1.0,1.0,0.0
14696,184,1.0,34,1.0,1.0,0.0
14740,185,1.0,44,1.0,1.0,0.0
14775,186,1.0,35,1.0,1.0,0.0
14822,187,1.0,47,1.0,1.0,0.0
14862,188,1.0,40,1.0,1.0,0.0
14908,189,1.0,46,1.0,1.0,0.0
14940,190,1.0,32,1.0,1.0,0.0
14972,191,1.0,32,1.0,1.0,0.0
15002,192,1.0,30,0.0,1.0,0.0
15032,193,1.0,30,1.0,1.0,0.0
15066,194,1.0,34,1.0,1.0,0.0
15099,195,1.0,33,1.0,1.0,0.0
15130,196,1.0,31,1.0,1.0,0.0
15165,197,1.0,35,1.0,1.0,0.0
15197,198,1.0,32,1.0,1.0,0.0
15232,199,1.0,35,1.0,1.0,0.0
15271,200,1.0,39,1.0,1.0,0.0
15311,201,1.0,40,1.0,1.0,0.0
15345,202,1.0,34,1.0,1.0,0.0
15379,203,1.0,34,1.0,1.0,0.0
15415,204,1.0,36,1.0,1.0,0.0
15447,205,1.0,32,1.0,1.0,0.0
15481,206,1.0,34,1.0,1.0,0.0
15516,207,1.0,35,1.0,1.0,0.0
15555,208,1.0,39,1.0,1.0,0.0
15593,209,1.0,38,1.0,1.0,0.0
15636,210,1.0,43,1.0,1.0,0.0
15668,211,1.0,32,1.0,1.0,0.0
