step,episode,ret,len,true_success,classifier_success,interv_frac
33,0,1.0,33,1.0,1.0,0.7575757575757576
76,1,1.0,43,1.0,1.0,0.6976744186046512
118,2,1.0,42,1.0,1.0,0.7857142857142857
149,3,1.0,31,1.0,1.0,0.8387096774193549
194,4,1.0,45,1.0,1.0,0.6
235,5,1.0,41,1.0,1.0,0.8048780487804879
267,6,1.0,32,1.0,1.0,0.90625
319,7,1.0,52,1.0,1.0,0.6730769230769231
375,8,1.0,56,1.0,1.0,0.6785714285714286
469,9,1.0,94,1.0,1.0,0.5531914893617021
523,10,1.0,54,1.0,1.0,0.7407407407407407
606,11,1.0,83,1.0,1.0,0.5783132530120482
654,12,1.0,48,1.0,1.0,0.6666666666666666
718,13,1.0,64,1.0,1.0,0.5
778,14,1.0,60,1.0,1.0,0.6333333333333333
813,15,1.0,35,1.0,1.0,0.8571428571428571
849,16,1.0,36,1.0,1.0,0.8055555555555556
914,17,1.0,65,1.0,1.0,0.6
955,18,1.0,41,1.0,1.0,0.8780487804878049
1001,19,1.0,46,1.0,1.0,0.6521739130434783
1047,20,1.0,46,1.0,1.0,0.6739130434782609
1103,21,1.0,56,1.0,1.0,0.48214285714285715
1153,22,1.0,50,1.0,1.0,0.54
1201,23,1.0,48,1.0,1.0,0.6458333333333334
1235,24,1.0,34,1.0,1.0,0.8823529411764706
1289,25,1.0,54,1.0,1.0,0.5925925925925926
1329,26,1.0,40,1.0,1.0,0.6
1372,27,1.0,43,1.0,1.0,0.7441860465116279
1431,28,1.0,59,1.0,1.0,0.559322033898305
1488,29,1.0,57,1.0,1.0,0.6842105263157895
1559,30,1.0,71,1.0,1.0,0.4647887323943662
1611,31,1.0,52,0.0,1.0,0.4807692307692308
1664,32,1.0,53,1.0,1.0,0.5849056603773585
1734,33,1.0,70,1.0,1.0,0.44285714285714284
1820,34,1.0,86,1.0,1.0,0.38372093023255816
1889,35,1.0,69,1.0,1.0,0.5797101449275363
1924,36,1.0,35,1.0,1.0,0.7142857142857143
1973,37,1.0,49,1.0,1.0,0.3673469387755102
2044,38,1.0,71,1.0,1.0,0.36619718309859156
2164,39,0.0,120,0.0,0.0,0.5333333333333333
2226,40,1.0,62,0.0,1.0,0.27419354838709675
2306,41,1.0,80,0.0,1.0,0.3125
2350,42,1.0,44,1.0,1.0,0.5681818181818182
2414,43,1.0,64,1.0,1.0,0.609375
2534,44,0.0,120,0.0,0.0,0.3333333333333333
2587,45,1.0,53,1.0,1.0,0.5849056603773585
2707,46,0.0,120,0.0,0.0,0.5416666666666666
2764,47,1.0,57,1.0,1.0,0.6842105263157895
2812,48,1.0,48,1.0,1.0,0.5
2895,49,1.0,83,1.0,1.0,0.4578313253012048
2955,50,1.0,60,1.0,1.0,0.43333333333333335
2996,51,1.0,41,0.0,1.0,0.6097560975609756
3090,52,1.0,94,1.0,1.0,0.22340425531914893
3210,53,0.0,120,0.0,0.0,0.4666666666666667
3270,54,1.0,60,1.0,1.0,0.3333333333333333
3326,55,1.0,56,1.0,1.0,0.39285714285714285
3380,56,1.0,54,1.0,1.0,0.5740740740740741
3449,57,1.0,69,0.0,1.0,0.2898550724637681
3552,58,1.0,103,1.0,1.0,0.34951456310679613
3672,59,0.0,120,0.0,0.0,0.3
3792,60,0.0,120,0.0,0.0,0.3333333333333333
3899,61,1.0,107,1.0,1.0,0.22429906542056074
4019,62,0.0,120,0.0,0.0,0.43333333333333335
4139,63,0.0,120,0.0,0.0,0.0
4194,64,1.0,55,1.0,1.0,0.36363636363636365
4314,65,0.0,120,0.0,0.0,0.38333333333333336
4434,66,0.0,120,0.0,0.0,0.325
4497,67,1.0,63,1.0,1.0,0.25396825396825395
4539,68,1.0,42,1.0,1.0,0.38095238095238093
4659,69,0.0,120,0.0,0.0,0.2
4779,70,0.0,120,0.0,0.0,0.4
4846,71,1.0,67,1.0,1.0,0.3582089552238806
4896,72,1.0,50,1.0,1.0,0.24
4971,73,1.0,75,1.0,1.0,0.2
5045,74,1.0,74,1.0,1.0,0.20270270270270271
5165,75,0.0,120,0.0,0.0,0.13333333333333333
5278,76,1.0,113,0.0,1.0,0.21238938053097345
5398,77,0.0,120,0.0,0.0,0.0
5462,78,1.0,64,1.0,1.0,0.15625
5517,79,1.0,55,1.0,1.0,0.36363636363636365
5630,80,1.0,113,1.0,1.0,0.0
5678,81,1.0,48,1.0,1.0,0.1875
5713,82,1.0,35,1.0,1.0,0.6857142857142857
5768,83,1.0,55,1.0,1.0,0.14545454545454545
5814,84,1.0,46,1.0,1.0,0.10869565217391304
5865,85,1.0,51,0.0,1.0,0.1568627450980392
5985,86,0.0,120,0.0,0.0,0.06666666666666667
6105,87,0.0,120,0.0,0.0,0.225
6147,88,1.0,42,1.0,1.0,0.2619047619047619
6184,89,1.0,37,1.0,1.0,0.24324324324324326
6261,90,1.0,77,1.0,1.0,0.3116883116883117
6324,91,1.0,63,0.0,1.0,0.12698412698412698
6378,92,1.0,54,1.0,1.0,0.2962962962962963
6462,93,1.0,84,1.0,1.0,0.2619047619047619
6561,94,1.0,99,1.0,1.0,0.2222222222222222
6602,95,1.0,41,1.0,1.0,0.24390243902439024
6722,96,0.0,120,0.0,0.0,0.0
6842,97,0.0,120,0.0,0.0,0.0
6877,98,1.0,35,1.0,1.0,0.22857142857142856
6946,99,1.0,69,1.0,1.0,0.2318840579710145
6994,100,1.0,48,1.0,1.0,0.2708333333333333
7031,101,1.0,37,1.0,1.0,0.40540540540540543
7113,102,1.0,82,1.0,1.0,0.07317073170731707
7161,103,1.0,48,1.0,1.0,0.020833333333333332
7191,104,1.0,30,1.0,1.0,0.26666666666666666
7225,105,1.0,34,0.0,1.0,0.2647058823529412
7317,106,1.0,92,1.0,1.0,0.20652173913043478
7352,107,1.0,35,1.0,1.0,0.22857142857142856
7398,108,1.0,46,1.0,1.0,0.17391304347826086
7440,109,1.0,42,1.0,1.0,0.11904761904761904
7486,110,1.0,46,0.0,1.0,0.3695652173913043
7553,111,1.0,67,1.0,1.0,0.23880597014925373
7607,112,1.0,54,1.0,1.0,0.3333333333333333
7658,113,1.0,51,1.0,1.0,0.1568627450980392
7760,114,1.0,102,1.0,1.0,0.049019607843137254
7810,115,1.0,50,1.0,1.0,0.3
7851,116,1.0,41,1.0,1.0,0.1951219512195122
7891,117,1.0,40,1.0,1.0,0.4
7921,118,1.0,30,1.0,1.0,0.26666666666666666
7958,119,1.0,37,1.0,1.0,0.13513513513513514
8018,120,1.0,60,1.0,1.0,0.26666666666666666
8075,121,1.0,57,0.0,1.0,0.0
8114,122,1.0,39,1.0,1.0,0.20512820512820512
8204,123,1.0,90,1.0,1.0,0.2777777777777778
8248,124,1.0,44,1.0,1.0,0.1590909090909091
8296,125,1.0,48,1.0,1.0,0.16666666666666666
8365,126,1.0,69,1.0,1.0,0.2318840579710145
8421,127,1.0,56,1.0,1.0,0.2857142857142857
8494,128,1.0,73,0.0,1.0,0.3287671232876712
8544,129,1.0,50,0.0,1.0,0.16
8601,130,1.0,57,0.0,1.0,0.14035087719298245
8639,131,1.0,38,1.0,1.0,0.42105263157894735
8680,132,1.0,41,0.0,1.0,0.4146341463414634
8736,133,1.0,56,1.0,1.0,0.19642857142857142
8786,134,1.0,50,0.0,1.0,0.32
8817,135,1.0,31,1.0,1.0,0.5161290322580645
8893,136,1.0,76,1.0,1.0,0.21052631578947367
8959,137,1.0,66,1.0,1.0,0.10606060606060606
8993,138,1.0,34,1.0,1.0,0.47058823529411764
9040,139,1.0,47,1.0,1.0,0.0
9077,140,1.0,37,1.0,1.0,0.21621621621621623
9113,141,1.0,36,1.0,1.0,0.0
9200,142,1.0,87,1.0,1.0,0.1839080459770115
9255,143,1.0,55,1.0,1.0,0.14545454545454545
9316,144,1.0,61,1.0,1.0,0.13114754098360656
9362,145,1.0,46,1.0,1.0,0.0
9403,146,1.0,41,1.0,1.0,0.0
9447,147,1.0,44,1.0,1.0,0.36363636363636365
