step,episode,ret,len,true_success,classifier_success,interv_frac
120,0,0.0,120,0.0,0.0,0.0
240,1,0.0,120,0.0,0.0,0.0
360,2,0.0,120,0.0,0.0,0.0
480,3,0.0,120,0.0,0.0,0.0
600,4,0.0,120,0.0,0.0,0.0
720,5,0.0,120,0.0,0.0,0.0
840,6,0.0,120,0.0,0.0,0.0
960,7,0.0,120,0.0,0.0,0.0
1080,8,0.0,120,0.0,0.0,0.0
1200,9,0.0,120,0.0,0.0,0.0
1320,10,0.0,120,0.0,0.0,0.0
1440,11,0.0,120,0.0,0.0,0.0
1560,12,0.0,120,0.0,0.0,0.0
1680,13,0.0,120,0.0,0.0,0.0
1800,14,0.0,120,0.0,0.0,0.0
1920,15,0.0,120,0.0,0.0,0.0
2040,16,0.0,120,0.0,0.0,0.0
2160,17,0.0,120,0.0,0.0,0.0
2280,18,0.0,120,0.0,0.0,0.0
2400,19,0.0,120,0.0,0.0,0.0
2520,20,0.0,120,0.0,0.0,0.0
2640,21,0.0,120,0.0,0.0,0.0
2760,22,0.0,120,0.0,0.0,0.0
2880,23,0.0,120,0.0,0.0,0.0
2937,24,1.0,57,1.0,1.0,0.0
3057,25,0.0,120,0.0,0.0,0.0
3177,26,0.0,120,0.0,0.0,0.0
3297,27,0.0,120,0.0,0.0,0.0
3417,28,0.0,120,0.0,0.0,0.0
3537,29,0.0,120,0.0,0.0,0.0
3657,30,0.0,120,0.0,0.0,0.0
3741,31,1.0,84,1.0,1.0,0.0
3861,32,0.0,120,0.0,0.0,0.0
3981,33,0.0,120,0.0,0.0,0.0
4101,34,0.0,120,0.0,0.0,0.0
4221,35,0.0,120,0.0,0.0,0.0
4341,36,0.0,120,0.0,0.0,0.0
4461,37,0.0,120,0.0,0.0,0.0
4581,38,0.0,120,0.0,0.0,0.0
4701,39,0.0,120,0.0,0.0,0.0
4821,40,0.0,120,0.0,0.0,0.0
4868,41,1.0,47,0.0,1.0,0.0
4988,42,0.0,120,0.0,0.0,0.0
5108,43,0.0,120,0.0,0.0,0.0
5228,44,0.0,120,0.0,0.0,0.0
5348,45,0.0,120,0.0,0.0,0.0
5468,46,0.0,120,0.0,0.0,0.0
5588,47,0.0,120,0.0,0.0,0.0
5708,48,0.0,120,0.0,0.0,0.0
5828,49,0.0,120,0.0,0.0,0.0
5909,50,1.0,81,1.0,1.0,0.0
5956,51,1.0,47,1.0,1.0,0.0
6002,52,1.0,46,1.0,1.0,0.0
6043,53,1.0,41,1.0,1.0,0.0
6121,54,1.0,78,1.0,1.0,0.0
6172,55,1.0,51,0.0,1.0,0.0
6238,56,1.0,66,1.0,1.0,0.0
6358,57,0.0,120,0.0,0.0,0.0
6478,58,0.0,120,0.0,0.0,0.0
6598,59,0.0,120,0.0,0.0,0.0
6718,60,0.0,120,0.0,0.0,0.0
6771,61,1.0,53,1.0,1.0,0.0
6891,62,0.0,120,0.0,0.0,0.0
6982,63,1.0,91,0.0,1.0,0.0
7102,64,0.0,120,0.0,0.0,0.0
7222,65,0.0,120,0.0,0.0,0.0
7342,66,0.0,120,0.0,0.0,0.0
7396,67,1.0,54,1.0,1.0,0.0
7459,68,1.0,63,1.0,1.0,0.0
7553,69,1.0,94,1.0,1.0,0.0
7673,70,0.0,120,0.0,0.0,0.0
7726,71,1.0,53,1.0,1.0,0.0
7846,72,0.0,120,0.0,0.0,0.0
7903,73,1.0,57,1.0,1.0,0.0
7968,74,1.0,65,0.0,1.0,0.0
8038,75,1.0,70,0.0,1.0,0.0
8105,76,1.0,67,1.0,1.0,0.0
8182,77,1.0,77,1.0,1.0,0.0
8246,78,1.0,64,1.0,1.0,0.0
8317,79,1.0,71,1.0,1.0,0.0
8397,80,1.0,80,1.0,1.0,0.0
8446,81,1.0,49,1.0,1.0,0.0
8506,82,1.0,60,1.0,1.0,0.0
8576,83,1.0,70,1.0,1.0,0.0
8616,84,1.0,40,1.0,1.0,0.0
8667,85,1.0,51,0.0,1.0,0.0
8727,86,1.0,60,1.0,1.0,0.0
8785,87,1.0,58,0.0,1.0,0.0
8875,88,1.0,90,1.0,1.0,0.0
8924,89,1.0,49,1.0,1.0,0.0
8992,90,1.0,68,1.0,1.0,0.0
9034,91,1.0,42,1.0,1.0,0.0
9090,92,1.0,56,0.0,1.0,0.0
9155,93,1.0,65,1.0,1.0,0.0
9238,94,1.0,83,1.0,1.0,0.0
9298,95,1.0,60,1.0,1.0,0.0
9342,96,1.0,44,1.0,1.0,0.0
9397,97,1.0,55,1.0,1.0,0.0
9448,98,1.0,51,1.0,1.0,0.0
9507,99,1.0,59,1.0,1.0,0.0
9569,100,1.0,62,0.0,1.0,0.0
9620,101,1.0,51,1.0,1.0,0.0
9668,102,1.0,48,1.0,1.0,0.0
9707,103,1.0,39,1.0,1.0,0.0
9746,104,1.0,39,1.0,1.0,0.0
9789,105,1.0,43,1.0,1.0,0.0
9825,106,1.0,36,1.0,1.0,0.0
9863,107,1.0,38,1.0,1.0,0.0
9907,108,1.0,44,1.0,1.0,0.0
9945,109,1.0,38,1.0,1.0,0.0
9986,110,1.0,41,0.0,1.0,0.0
10043,111,1.0,57,1.0,1.0,0.0
10103,112,1.0,60,1.0,1.0,0.0
10141,113,1.0,38,0.0,1.0,0.0
10198,114,1.0,57,1.0,1.0,0.0
10244,115,1.0,46,0.0,1.0,0.0
10280,116,1.0,36,1.0,1.0,0.0
10400,117,0.0,120,0.0,0.0,0.0
10437,118,1.0,37,1.0,1.0,0.0
10477,119,1.0,40,1.0,1.0,0.0
10525,120,1.0,48,1.0,1.0,0.0
10567,121,1.0,42,1.0,1.0,0.0
10616,122,1.0,49,1.0,1.0,0.0
10664,123,1.0,48,1.0,1.0,0.0
10725,124,1.0,61,1.0,1.0,0.0
10754,125,1.0,29,1.0,1.0,0.0
10807,126,1.0,53,1.0,1.0,0.0
10883,127,1.0,76,1.0,1.0,0.0
10967,128,1.0,84,1.0,1.0,0.0
11009,129,1.0,42,1.0,1.0,0.0
11060,130,1.0,51,0.0,1.0,0.0
11112,131,1.0,52,1.0,1.0,0.0
11166,132,1.0,54,0.0,1.0,0.0
11211,133,1.0,45,1.0,1.0,0.0
11257,134,1.0,46,1.0,1.0,0.0
11298,135,1.0,41,1.0,1.0,0.0
11340,136,1.0,42,1.0,1.0,0.0
11415,137,1.0,75,1.0,1.0,0.0
11447,138,1.0,32,0.0,1.0,0.0
11487,139,1.0,40,1.0,1.0,0.0
11524,140,1.0,37,1.0,1.0,0.0
11554,141,1.0,30,1.0,1.0,0.0
11610,142,1.0,56,1.0,1.0,0.0
