step,episode,ret,len,true_success,classifier_success,interv_frac
34,0,1.0,34,1.0,1.0,0.7058823529411765
92,1,1.0,58,0.0,1.0,0.5517241379310345
141,2,1.0,49,1.0,1.0,0.673469387755102
261,3,0.0,120,0.0,0.0,0.85
381,4,0.0,120,0.0,0.0,0.7333333333333333
425,5,1.0,44,1.0,1.0,0.7954545454545454
493,6,1.0,68,1.0,1.0,0.4852941176470588
569,7,1.0,76,1.0,1.0,0.5263157894736842
649,8,1.0,80,1.0,1.0,0.5
747,9,1.0,98,1.0,1.0,0.3877551020408163
836,10,1.0,89,1.0,1.0,0.30337078651685395
898,11,1.0,62,1.0,1.0,0.5645161290322581
936,12,1.0,38,1.0,1.0,0.8157894736842105
1036,13,1.0,100,1.0,1.0,0.48
1100,14,1.0,64,1.0,1.0,0.390625
1152,15,1.0,52,1.0,1.0,0.5
1272,16,0.0,120,0.0,0.0,0.13333333333333333
1392,17,0.0,120,0.0,0.0,0.06666666666666667
1459,18,1.0,67,1.0,1.0,0.4626865671641791
1579,19,0.0,120,0.0,0.0,0.13333333333333333
1652,20,1.0,73,0.0,1.0,0.4520547945205479
1747,21,1.0,95,0.0,1.0,0.3473684210526316
1805,22,1.0,58,1.0,1.0,0.7068965517241379
1925,23,0.0,120,0.0,0.0,0.25
2019,24,1.0,94,1.0,1.0,0.32978723404255317
2064,25,1.0,45,1.0,1.0,0.5333333333333333
2180,26,1.0,116,0.0,1.0,0.28448275862068967
2232,27,1.0,52,0.0,1.0,0.5
2318,28,1.0,86,1.0,1.0,0.29069767441860467
2438,29,0.0,120,0.0,0.0,0.4666666666666667
2506,30,1.0,68,1.0,1.0,0.36764705882352944
2571,31,1.0,65,0.0,1.0,0.38461538461538464
2691,32,0.0,120,0.0,0.0,0.06666666666666667
2808,33,1.0,117,0.0,1.0,0.21367521367521367
2880,34,1.0,72,1.0,1.0,0.3472222222222222
3000,35,0.0,120,0.0,0.0,0.24166666666666667
3120,36,0.0,120,0.0,0.0,0.26666666666666666
3240,37,0.0,120,0.0,0.0,0.21666666666666667
3360,38,0.0,120,0.0,0.0,0.4666666666666667
3480,39,0.0,120,0.0,0.0,0.06666666666666667
3600,40,0.0,120,0.0,0.0,0.13333333333333333
3720,41,0.0,120,0.0,0.0,0.06666666666666667
3840,42,0.0,120,0.0,0.0,0.06666666666666667
3960,43,0.0,120,0.0,0.0,0.06666666666666667
4029,44,1.0,69,0.0,1.0,0.2463768115942029
4149,45,0.0,120,0.0,0.0,0.06666666666666667
4269,46,0.0,120,0.0,0.0,0.06666666666666667
4329,47,1.0,60,1.0,1.0,0.5166666666666667
4449,48,0.0,120,0.0,0.0,0.375
4569,49,0.0,120,0.0,0.0,0.058333333333333334
4656,50,1.0,87,1.0,1.0,0.14942528735632185
4776,51,0.0,120,0.0,0.0,0.2
4896,52,0.0,120,0.0,0.0,0.13333333333333333
5016,53,0.0,120,0.0,0.0,0.26666666666666666
5118,54,1.0,102,1.0,1.0,0.17647058823529413
5185,55,1.0,67,1.0,1.0,0.26865671641791045
5305,56,0.0,120,0.0,0.0,0.16666666666666666
5425,57,0.0,120,0.0,0.0,0.06666666666666667
5463,58,1.0,38,1.0,1.0,0.42105263157894735
5549,59,1.0,86,1.0,1.0,0.27906976744186046
5631,60,1.0,82,1.0,1.0,0.0975609756097561
5737,61,1.0,106,1.0,1.0,0.14150943396226415
5820,62,1.0,83,1.0,1.0,0.3373493975903614
5914,63,1.0,94,1.0,1.0,0.0851063829787234
5998,64,1.0,84,1.0,1.0,0.19047619047619047
6087,65,1.0,89,1.0,1.0,0.1797752808988764
6139,66,1.0,52,0.0,1.0,0.15384615384615385
6259,67,0.0,120,0.0,0.0,0.0
6306,68,1.0,47,1.0,1.0,0.2127659574468085
6346,69,1.0,40,1.0,1.0,0.375
6462,70,1.0,116,1.0,1.0,0.07758620689655173
6528,71,1.0,66,1.0,1.0,0.3484848484848485
6624,72,1.0,96,1.0,1.0,0.1875
6744,73,0.0,120,0.0,0.0,0.19166666666666668
6864,74,0.0,120,0.0,0.0,0.16666666666666666
6907,75,1.0,43,1.0,1.0,0.13953488372093023
7027,76,0.0,120,0.0,0.0,0.13333333333333333
7147,77,0.0,120,0.0,0.0,0.16666666666666666
7250,78,1.0,103,1.0,1.0,0.1650485436893204
7295,79,1.0,45,1.0,1.0,0.4444444444444444
7365,80,1.0,70,1.0,1.0,0.12857142857142856
7421,81,1.0,56,1.0,1.0,0.05357142857142857
7491,82,1.0,70,1.0,1.0,0.3142857142857143
7550,83,1.0,59,1.0,1.0,0.2711864406779661
7596,84,1.0,46,1.0,1.0,0.17391304347826086
7665,85,1.0,69,1.0,1.0,0.14492753623188406
7757,86,1.0,92,1.0,1.0,0.2608695652173913
7794,87,1.0,37,1.0,1.0,0.6486486486486487
7854,88,1.0,60,1.0,1.0,0.016666666666666666
7907,89,1.0,53,1.0,1.0,0.16981132075471697
7966,90,1.0,59,1.0,1.0,0.0847457627118644
8007,91,1.0,41,1.0,1.0,0.36585365853658536
8062,92,1.0,55,1.0,1.0,0.14545454545454545
8146,93,1.0,84,1.0,1.0,0.023809523809523808
8188,94,1.0,42,1.0,1.0,0.0
8308,95,0.0,120,0.0,0.0,0.0
8348,96,1.0,40,1.0,1.0,0.4
8392,97,1.0,44,1.0,1.0,0.22727272727272727
8436,98,1.0,44,1.0,1.0,0.18181818181818182
8498,99,1.0,62,1.0,1.0,0.12903225806451613
8547,100,1.0,49,1.0,1.0,0.32653061224489793
8605,101,1.0,58,1.0,1.0,0.0
8669,102,1.0,64,1.0,1.0,0.375
8709,103,1.0,40,0.0,1.0,0.2
8762,104,1.0,53,1.0,1.0,0.0
8882,105,0.0,120,0.0,0.0,0.06666666666666667
9002,106,0.0,120,0.0,0.0,0.06666666666666667
9045,107,1.0,43,1.0,1.0,0.18604651162790697
9084,108,1.0,39,1.0,1.0,0.20512820512820512
9135,109,1.0,51,1.0,1.0,0.1568627450980392
9193,110,1.0,58,1.0,1.0,0.10344827586206896
9307,111,1.0,114,0.0,1.0,0.07017543859649122
9354,112,1.0,47,1.0,1.0,0.02127659574468085
9390,113,1.0,36,1.0,1.0,0.08333333333333333
9483,114,1.0,93,1.0,1.0,0.06451612903225806
9554,115,1.0,71,1.0,1.0,0.11267605633802817
9603,116,1.0,49,1.0,1.0,0.16326530612244897
9722,117,1.0,119,1.0,1.0,0.13445378151260504
9776,118,1.0,54,1.0,1.0,0.14814814814814814
9812,119,1.0,36,1.0,1.0,0.2222222222222222
9889,120,1.0,77,1.0,1.0,0.14285714285714285
9951,121,1.0,62,1.0,1.0,0.22580645161290322
9988,122,1.0,37,1.0,1.0,0.21621621621621623
10025,123,1.0,37,1.0,1.0,0.43243243243243246
10077,124,1.0,52,1.0,1.0,0.15384615384615385
10127,125,1.0,50,1.0,1.0,0.0
10174,126,1.0,47,1.0,1.0,0.0
10217,127,1.0,43,1.0,1.0,0.20930232558139536
10302,128,1.0,85,1.0,1.0,0.16470588235294117
10349,129,1.0,47,1.0,1.0,0.1702127659574468
10384,130,1.0,35,1.0,1.0,0.22857142857142856
